ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
TER,VXUS,9.0,91.5,,,,,,,,,5.0,bullish,2,"['ranker', 'stock_secrot']",Technology
SLGL,--,10.0,91.2,37.0,86.2,,,,,,,,none,2,"['ranker', 'ranker_long']",
FRO,--,11.0,90.5,54.0,84.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
FTI,XLE,13.0,89.7,4.0,92.9,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Energy
FORM,XLI,14.0,89.6,52.0,84.7,,,,,,,,none,2,"['ranker', 'ranker_long']",
TPR,XLF,14.0,89.6,116.0,79.5,,,,,,,2.0,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
AEIS,XLK,17.0,89.1,99.0,80.7,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
LITE,--,17.0,89.1,18.0,88.0,,,,,,,2.0,bullish,2,"['ranker', 'ranker_long']",Technology
TERN,--,19.0,88.7,66.0,83.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
NBTX,--,21.0,87.6,96.0,80.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
VICR,XLK,22.0,87.3,12.0,89.2,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
ATI,XLI,23.0,87.1,5.0,92.8,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
SNDK,XLK,28.0,86.3,,,,,,,,,6.0,bullish,2,"['ranker', 'stock_secrot']",Technology
LUNMF,IAU,29.0,86.2,10.0,89.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
JNJ,XLV,31.0,86.1,62.0,84.1,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Healthcare
NATR,--,33.0,85.1,25.0,87.3,,,,,,,,none,2,"['ranker', 'ranker_long']",
GDMN,IAU,34.0,84.9,,,,,,,,6.7,,none,2,"['ranker', 'secrot']",
WWD,XLI,35.0,84.6,6.0,91.5,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
TEN,--,35.0,84.6,71.0,83.3,,,,,,,,none,2,"['ranker', 'ranker_long']",
AEM,IAU,37.0,84.5,11.0,89.6,,,,,,,4.0,bullish,2,"['ranker', 'ranker_long']",Basic Materials
HWM,XLI,40.0,84.1,16.0,88.1,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Industrials
AMG,--,44.0,83.9,,,,,,,,4.9,,none,2,"['ranker', 'secrot']",
GLW,XLK,45.0,83.8,,,,,,,,,6.0,bullish,2,"['ranker', 'stock_secrot']",Technology
FET,XLE,46.0,83.7,78.0,82.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
KLIC,XLI,47.0,83.5,73.0,83.2,,,,,,,,none,2,"['ranker', 'ranker_long']",
NESRF,IAU,48.0,83.1,93.0,81.0,,,,,,,,none,2,"['ranker', 'ranker_long']",
EVRG,XLU,49.0,82.9,139.0,78.4,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
AEP,XLU,49.0,82.9,116.0,79.5,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
ASX,XLK,53.0,82.6,115.0,79.6,,,,,,,4.0,bullish,2,"['ranker', 'ranker_long']",Technology
MTRN,XLB,56.0,81.6,54.0,84.4,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
INSW,XLV,58.0,81.5,41.0,85.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
HAL,XLE,59.0,81.4,,,,,,,,,6.0,none,2,"['ranker', 'stock_secrot']",Energy
NMM,IAU,59.0,81.4,87.0,81.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
NYT,XLC,61.0,81.2,107.0,80.3,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Communication Services
SSRM,IAU,62.0,81.1,54.0,84.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
GOLY,IAU,64.0,80.7,,,,,,,,4.0,,none,2,"['ranker', 'secrot']",
MARUY,VXUS,64.0,80.7,15.0,88.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
FIX,XLK,68.0,80.5,126.0,78.9,,,,,,,4.0,bullish,2,"['ranker', 'ranker_long']",Industrials
ORLA,IAU,72.0,79.7,8.0,90.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
SDVKY,VXUS,73.0,79.6,103.0,80.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
CSTM,SPY,80.0,78.4,141.0,78.3,,,,,,,,none,2,"['ranker', 'ranker_long']",
RTX,XLI,83.0,78.2,114.0,79.7,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Industrials
ESE,XLI,84.0,78.1,139.0,78.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
CTRE,TLT,86.0,77.4,88.0,81.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
POWL,XLI,89.0,77.0,22.0,87.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
FAN,VGK,92.0,76.5,,,,,,,,3.3,,none,2,"['ranker', 'secrot']",
DAN,XLB,92.0,76.5,104.0,80.4,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
XAR,XLI,97.0,75.7,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
ITA,XLI,99.0,75.2,,,,,,,,3.6,,none,2,"['ranker', 'secrot']",
THC,--,99.0,75.2,38.0,85.9,,,,,,,0.0,none,2,"['ranker', 'ranker_long']",Healthcare
XOM,XLE,102.0,75.0,123.0,79.0,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Energy
FLMX,VXUS,105.0,74.6,,,,,,,,4.0,,none,2,"['ranker', 'secrot']",
EWW,IAU,105.0,74.6,,,,,,,,4.3,,none,2,"['ranker', 'secrot']",
AIRR,XLI,105.0,74.6,,,,,,,,3.5,,none,2,"['ranker', 'secrot']",
PH,XLI,108.0,74.5,131.0,78.6,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
FLBR,VXUS,109.0,74.3,,,,,,,,2.0,,none,2,"['ranker', 'secrot']",
PPA,XLI,110.0,74.1,,,,,,,,2.6,,none,2,"['ranker', 'secrot']",
JCI,XLI,110.0,74.1,104.0,80.4,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Industrials
FDT,VXUS,114.0,73.9,,,,,,,,3.9,,none,2,"['ranker', 'secrot']",
MISL,XLI,116.0,73.6,,,,,,,,3.8,,none,2,"['ranker', 'secrot']",
PICK,IAU,120.0,73.2,,,,,,,,4.4,,none,2,"['ranker', 'secrot']",
TJX,--,122.0,72.9,76.0,82.9,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
FIDU,XLI,122.0,72.9,,,,,,,,3.1,,none,2,"['ranker', 'secrot']",
GTX,XLB,124.0,72.8,118.0,79.3,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
FRDM,VXUS,124.0,72.8,,,,,,,,2.7,,none,2,"['ranker', 'secrot']",
ICOW,VXUS,124.0,72.8,,,,,,,,3.1,,none,2,"['ranker', 'secrot']",
AG,IAU,124.0,72.8,31.0,86.9,,,,,,,,none,2,"['ranker', 'ranker_long']",
DGX,XLRE,128.0,72.7,104.0,80.4,,,,,,,2.0,bullish,2,"['ranker', 'ranker_long']",Healthcare
BVN,IAU,128.0,72.7,1.0,94.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
VPL,VXUS,130.0,72.5,,,,,,,,2.7,,none,2,"['ranker', 'secrot']",
RODM,VGK,130.0,72.5,,,,,,,,2.8,,none,2,"['ranker', 'secrot']",
TRV,--,130.0,72.5,135.0,78.5,,,,,,,1.0,none,2,"['ranker', 'ranker_long']",Financial Services
STLD,XLB,135.0,72.3,96.0,80.8,,,,,,,2.0,bullish,2,"['ranker', 'ranker_long']",Basic Materials
RAAX,IAU,138.0,72.1,,,,,,,,2.6,,none,2,"['ranker', 'secrot']",
AVDV,VXUS,138.0,72.1,,,,,,,,2.9,,none,2,"['ranker', 'secrot']",
ISSC,QQQ,141.0,71.9,60.0,84.2,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
VIS,XLI,142.0,71.7,,,,,,,,3.2,,none,2,"['ranker', 'secrot']",
WPM,IAU,144.0,71.5,24.0,87.4,,,,,,,4.0,bullish,2,"['ranker', 'ranker_long']",Basic Materials
FTAI,XLI,146.0,71.4,,,,,,,,,7.0,none,2,"['ranker', 'stock_secrot']",Industrials
BKGI,XLU,149.0,71.3,,,,,,,,4.1,,bearish,2,"['ranker', 'secrot']",
EMXC,VXUS,150.0,71.2,,,,,,,,3.1,3.0,none,2,"['ranker', 'secrot']",Financial Services
SGDM,--,,,31.0,86.9,,,,,,4.1,,none,2,"['ranker_long', 'secrot']",
NOC,--,,,36.0,86.3,,,,,,,7.0,none,2,"['ranker_long', 'stock_secrot']",Industrials
SGOL,--,,,44.0,85.4,,,,,,3.2,,none,2,"['ranker_long', 'secrot']",
IAU,--,,,44.0,85.4,,,,,,3.1,,none,2,"['ranker_long', 'secrot']",
GLD,--,,,44.0,85.4,,,,,,3.1,,none,2,"['ranker_long', 'secrot']",
GDX,--,,,44.0,85.4,,,,,,3.2,,none,2,"['ranker_long', 'secrot']",
GDXJ,--,,,48.0,85.3,,,,,,3.5,,none,2,"['ranker_long', 'secrot']",
DXJ,--,,,49.0,85.1,,,,,,2.4,,none,2,"['ranker_long', 'secrot']",
BG,--,,,51.0,84.8,,,,,,,6.0,bearish,2,"['ranker_long', 'stock_secrot']",Consumer Defensive
RING,--,,,53.0,84.6,,,,,,4.0,,none,2,"['ranker_long', 'secrot']",
SIL,--,,,70.0,83.4,,,,,,3.8,,none,2,"['ranker_long', 'secrot']",
SLVP,--,,,71.0,83.3,,,,,,3.8,,none,2,"['ranker_long', 'secrot']",
PAAS,--,,,78.0,82.6,,,,,,,7.0,bullish,2,"['ranker_long', 'stock_secrot']",Basic Materials
SGDJ,--,,,85.0,81.8,,,,,,4.2,,none,2,"['ranker_long', 'secrot']",
BNO,--,,,86.0,81.6,,,,,,0.7,,none,2,"['ranker_long', 'secrot']",
SILJ,--,,,93.0,81.0,,,,,,3.9,,none,2,"['ranker_long', 'secrot']",
EPU,--,,,95.0,80.9,,,,,,4.4,,none,2,"['ranker_long', 'secrot']",
RGLD,--,,,99.0,80.7,,,,,,,5.0,bullish,2,"['ranker_long', 'stock_secrot']",Basic Materials
CDE,--,,,113.0,79.8,,,,,,,7.0,bullish,2,"['ranker_long', 'stock_secrot']",Basic Materials
GUNR,--,,,122.0,79.1,,,,,,3.1,,none,2,"['ranker_long', 'secrot']",
GFI,--,,,126.0,78.9,,,,,,,5.0,bullish,2,"['ranker_long', 'stock_secrot']",Basic Materials
SYY,--,,,150.0,77.7,,,,,,,6.0,bearish,2,"['ranker_long', 'stock_secrot']",Consumer Defensive
PSLV,--,,,,,,,,,,3.9,7.0,none,2,"['secrot', 'stock_secrot']",Financial Services
